,anzsic06,Area,year,geo_count,ec_count
274107,A,A116700,2020,3,0
274108,A,A116800,2020,0,3
274109,A,A117000,2020,45,120
274110,A,A117100,2020,15,6
274111,A,A117200,2020,3,0
274112,A,A117300,2020,6,0
274113,A,A117500,2020,0,0
274114,A,A117800,2020,3,0
274115,A,A117900,2020,3,0
274116,A,A118000,2020,9,25
274117,A,A118100,2020,0,0
274118,A,A118200,2020,6,0
274119,A,A118400,2020,0,0
274120,A,A118500,2020,0,0
274121,A,A118600,2020,9,30
274122,A,A118800,2020,6,18
274123,A,A118900,2020,3,0
274124,A,A119000,2020,0,0
274125,A,A119400,2020,3,0
274126,A,A119500,2020,0,0
274127,A,A119600,2020,3,0
274128,A,A119700,2020,0,0
274129,A,A119800,2020,0,3
274130,A,A120000,2020,0,3
274131,A,A120100,2020,6,75
274132,A,A120200,2020,6,15
274133,A,A120300,2020,6,0
274134,A,A120500,2020,3,0
274135,A,A120600,2020,0,0
274136,A,A120700,2020,3,6
274137,A,A120800,2020,0,0
274138,A,A120900,2020,0,0
274139,A,A121000,2020,3,0
274140,A,A121100,2020,3,0
274141,A,A121500,2020,0,0
274142,A,A121600,2020,3,0
274143,A,A121700,2020,0,0
274144,A,A121900,2020,0,3
274145,A,A122000,2020,3,0
274146,A,A122200,2020,0,0
274147,A,A122300,2020,3,0
274148,A,A122500,2020,3,6
274149,A,A122600,2020,0,0
274150,A,A122700,2020,0,3
274151,A,A123100,2020,0,3
274152,A,A123200,2020,3,0
274153,A,A123500,2020,3,9
274154,A,A123600,2020,0,0
274155,A,A123700,2020,0,0
274156,A,A123800,2020,0,0
274157,A,A123900,2020,3,0
274158,A,A124000,2020,0,0
274159,A,A124100,2020,0,0
274160,A,A124200,2020,0,0
274161,A,A124600,2020,0,0
274162,A,A124700,2020,6,60
274163,A,A124800,2020,0,0
274164,A,A124900,2020,0,0
274165,A,A125100,2020,0,0
274166,A,A125200,2020,0,0
274167,A,A125300,2020,3,0
274168,A,A125600,2020,3,0
274169,A,A125700,2020,0,0
274170,A,A125900,2020,0,0
274171,A,A126000,2020,6,9
274172,A,A126300,2020,3,0
274173,A,A126500,2020,0,0
274174,A,A126600,2020,3,0
274175,A,A126700,2020,3,3
274176,A,A126800,2020,9,0
274177,A,A126900,2020,3,0
274178,A,A127000,2020,0,0
274179,A,A127100,2020,0,0
274180,A,A127300,2020,3,3
274181,A,A127400,2020,3,0
274182,A,A127500,2020,6,0
274183,A,A127600,2020,9,21
274184,A,A127700,2020,0,0
274185,A,A127800,2020,0,3
274186,A,A127900,2020,3,0
274187,A,A128000,2020,3,0
274188,A,A128100,2020,3,0
274189,A,A128200,2020,6,3
274190,A,A128300,2020,0,9
274191,A,A128400,2020,0,0
274192,A,A128500,2020,0,0
274193,A,A128600,2020,9,0
274194,A,A128700,2020,3,30
274195,A,A128800,2020,3,0
274196,A,A128900,2020,3,0
274197,A,A129100,2020,0,0
274198,A,A129200,2020,3,0
274199,A,A129300,2020,0,0
274200,A,A129400,2020,3,6
274201,A,A129600,2020,0,0
274202,A,A129700,2020,9,0
274203,A,A129800,2020,3,0
274204,A,A130000,2020,6,9
274205,A,A130100,2020,3,0
274206,A,A130200,2020,3,0
274207,A,A130400,2020,3,0
274208,A,A130500,2020,0,0
274209,A,A130600,2020,0,9
274210,A,A130700,2020,0,0
274211,A,A130800,2020,0,0
274212,A,A131000,2020,0,0
274213,A,A131100,2020,0,0
274214,A,A131200,2020,12,3
274215,A,A131300,2020,9,3
274216,A,A131500,2020,0,0
274217,A,A131700,2020,0,0
274218,A,A131800,2020,3,3
274219,A,A131900,2020,0,0
274220,A,A132000,2020,3,0
274221,A,A132100,2020,3,0
274222,A,A132200,2020,3,6
274223,A,A132400,2020,3,6
274224,A,A132500,2020,3,0
274225,A,A132600,2020,6,6
274226,A,A132700,2020,3,0
274227,A,A132800,2020,3,0
274228,A,A133000,2020,0,0
274229,A,A133200,2020,33,210
274230,A,A133300,2020,15,55
274231,A,A133500,2020,6,0
274232,A,A133600,2020,0,0
274233,A,A133700,2020,18,30
274234,A,A133900,2020,0,0
274235,A,A134000,2020,0,0
274236,A,A134200,2020,3,0
274237,A,A134300,2020,3,3
274238,A,A134400,2020,0,0
274239,A,A134500,2020,3,0
274240,A,A134600,2020,0,0
274241,A,A135000,2020,3,0
274242,A,A135100,2020,3,0
274243,A,A135300,2020,6,9
274244,A,A135500,2020,3,0
274245,A,A135600,2020,3,0
274246,A,A135800,2020,0,3
274247,A,A135900,2020,6,3
274248,A,A136000,2020,6,0
274249,A,A136100,2020,3,3
274250,A,A136300,2020,3,0
274251,A,A136400,2020,24,3
274252,A,A136600,2020,0,0
274253,A,A136700,2020,0,0
274254,A,A136800,2020,0,0
274255,A,A136900,2020,3,3
274256,A,A137000,2020,0,0
274257,A,A137100,2020,0,0
274258,A,A137400,2020,9,0
274259,A,A137600,2020,3,0
274260,A,A137800,2020,3,0
274261,A,A137900,2020,0,0
274262,A,A138100,2020,3,0
274263,A,A138300,2020,3,0
274264,A,A138400,2020,0,0
274265,A,A138500,2020,18,60
274266,A,A138600,2020,0,0
274267,A,A138700,2020,6,3
274268,A,A138800,2020,0,6
274269,A,A138900,2020,0,0
274270,A,A139000,2020,3,0
274271,A,A139100,2020,3,0
274272,A,A139200,2020,3,0
274273,A,A139300,2020,3,0
274274,A,A139400,2020,6,0
274275,A,A139700,2020,3,3
274276,A,A139800,2020,3,0
274277,A,A139900,2020,0,6
274278,A,A140000,2020,6,6
274279,A,A140200,2020,0,0
274280,A,A140300,2020,6,6
274281,A,A140400,2020,3,3
274282,A,A140500,2020,0,0
274283,A,A140800,2020,3,0
274284,A,A140900,2020,0,0
274285,A,A141100,2020,6,0
274286,A,A141500,2020,0,3
274287,A,A141700,2020,6,3
547481,A,A100100,2019,81,230
547482,A,A100200,2019,135,190
547483,A,A100300,2019,6,25
547484,A,A100400,2019,57,100
547485,A,A100500,2019,66,120
547486,A,A100600,2019,18,50
547487,A,A100700,2019,15,20
547488,A,A100800,2019,24,75
547489,A,A100900,2019,54,30
547490,A,A101000,2019,45,35
547491,A,A101100,2019,15,12
547492,A,A101200,2019,78,12
547493,A,A101300,2019,81,12
547494,A,A101400,2019,54,40
547495,A,A101500,2019,54,12
547496,A,A101600,2019,42,30
547497,A,A101700,2019,54,25
547498,A,A101800,2019,45,15
547499,A,A101900,2019,48,20
547500,A,A102000,2019,90,45
547501,A,A102100,2019,45,12
